Purpose,Inbound,StopNumber,MultipleStops,StopPurp1,StopPurp2,StopPurp3,StopPurp4,StopPurp5,StopPurp6,StopPurp7
1,0,1,0,0,0,0,0.610539345,0.299862693,0.089597962,0
1,1,1,0,0,0,0,0.17014896,0.595592447,0.234258593,0
1,0,1,1,0,0,0,0.715735709,0.227941076,0.056323215,0
1,1,1,1,0,0,0,0.564754795,0.275520024,0.159725181,0
1,0,2,1,0,0,0,0.568169466,0.364496139,0.067334394,0
1,1,2,1,0,0,0,0.301463809,0.505657421,0.19287877,0
1,0,3,1,0,0,0,0.359082926,0.45475981,0.186157264,0
1,1,3,1,0,0,0,0.278306892,0.548410258,0.173282849,0
1,0,4,1,0,0,0,0.42094266,0.477388364,0.101668976,0
1,1,4,1,0,0,0,0.359987977,0.448886697,0.191125325,0
2,0,1,0,0,0,0,0.508128491,0.256032446,0.235839063,0
2,1,1,0,0,0,0,0.107997902,0.64650115,0.245500948,0
2,0,1,1,0,0,0,0.599352182,0.392609342,0.008038477,0
2,1,1,1,0,0,0,0.456471906,0.478611117,0.064916977,0
2,0,2,1,0,0,0,0.292535765,0.664150165,0.04331407,0
2,1,2,1,0,0,0,0.148574431,0.716484957,0.134940613,0
2,0,3,1,0,0,0,0.289561126,0.611499465,0.098939409,0
2,1,3,1,0,0,0,0,0.909967023,0.090032977,0
2,1,4,1,0,0,0,0.25,0.5,0.25,0
3,0,1,0,0,0,0,0.599914061,0.195821315,0.204264624,0
3,1,1,0,0,0,0,0.239424065,0.344054882,0.416521053,0
3,0,1,1,0,0,0,0.801053624,0.014183661,0.184762715,0
3,1,1,1,0,0,0,0.602566817,0.096114274,0.30131891,0
3,0,2,1,0,0,0,0.558211965,0.303506669,0.138281366,0
3,1,2,1,0,0,0,0.203768513,0.418364331,0.377867156,0
3,0,3,1,0,0,0,0,1,0,0
3,1,3,1,0,0,0,0.139602405,0.280342741,0.580054854,0
3,0,4,1,0,0,0,0.5,0.5,0,0
3,1,4,1,0,0,0,0.110646542,0.520708397,0.36864506,0
4,0,1,0,0,0,0,0.603126447,0.197848445,0.199025108,0
4,1,1,0,0,0,0,0.316357455,0.54188764,0.141754905,0
4,0,1,1,0,0,0,0.569548999,0.224041773,0.206409228,0
4,1,1,1,0,0,0,0.277095594,0.362956758,0.359947648,0
4,0,2,1,0,0,0,0.552549003,0.351290499,0.096160498,0
4,1,2,1,0,0,0,0.300638263,0.523729508,0.175632228,0
4,0,3,1,0,0,0,0.366213925,0.42191386,0.211872215,0
4,1,3,1,0,0,0,0.402410808,0.371066363,0.226522829,0
4,0,4,1,0,0,0,0.436885196,0.183559635,0.379555169,0
4,1,4,1,0,0,0,0.548675701,0.334945306,0.116378993,0
5,0,1,0,0,0,0,0.058085471,0.636303066,0.305611463,0
5,1,1,0,0,0,0,0.097279374,0.605848427,0.296872199,0
5,0,1,1,0,0,0,0.282593484,0.510698252,0.206708264,0
5,1,1,1,0,0,0,0.220475564,0.605723686,0.17380075,0
5,0,2,1,0,0,0,0.124068212,0.632929772,0.243002016,0
5,1,2,1,0,0,0,0.105191079,0.720615358,0.174193563,0
5,0,3,1,0,0,0,0.098573234,0.716328032,0.185098734,0
5,1,3,1,0,0,0,0.234878223,0.60785687,0.157264907,0
5,0,4,1,0,0,0,0.102101834,0.592887377,0.305010788,0
5,1,4,1,0,0,0,0.125212432,0.579772308,0.29501526,0
6,0,1,0,0,0,0,0.274411939,0.409978598,0.315609463,0
6,1,1,0,0,0,0,0.0638475,0.490485283,0.445667217,0
6,0,1,1,0,0,0,0.4122771,0.421041369,0.166681531,0
6,1,1,1,0,0,0,0.306118795,0.307347651,0.386533554,0
6,0,2,1,0,0,0,0.308500457,0.257795357,0.433704186,0
6,1,2,1,0,0,0,0.081829773,0.659718668,0.25845156,0
6,0,3,1,0,0,0,0.120343562,0.402713928,0.476942509,0
6,1,3,1,0,0,0,0.241463149,0.353433912,0.40510294,0
6,0,4,1,0,0,0,0.282144715,0.363927791,0.353927494,0
6,1,4,1,0,0,0,0.269167937,0.490380907,0.240451155,0
7,0,1,0,0,0,0,0.073538491,0.629449126,0.297012384,0
7,1,1,0,0,0,0,0,0.635268084,0.364731916,0
7,0,1,1,0,0,0,0.037376352,0.962623648,0,0
7,1,1,1,0,0,0,0.162613061,0.837386939,0,0
7,0,2,1,0,0,0,0.110539292,0.626907999,0.262552709,0
7,1,2,1,0,0,0,0.251757405,0.371057926,0.377184669,0
7,0,3,1,0,0,0,0,0.622498261,0.377501739,0
7,1,3,1,0,0,0,0.304587381,0.67145841,0.02395421,0
7,0,4,1,0,0,0,0,1,0,0
7,1,4,1,0,0,0,0,0.688837532,0.311162468,0
