Purpose,Inbound,StopNumber,MultipleStops,StopPurp1,StopPurp2,StopPurp3,StopPurp4
1,0,1,0,0.286898178,0.1901552,0,0.522946622
1,0,1,1,0.242479274,0,0,0.757520726
1,0,2,1,0.465830304,0.10774617,0.095141624,0.331281902
1,0,3,1,0.666666667,0,0,0.333333333
1,0,4,1,1,0,0,0
1,1,1,0,0,0.146785221,0.35647633,0.496738449
1,1,1,1,0,0.198702751,0.801297249,0
1,1,2,1,0,0.064275687,0.258966175,0.676758138
1,1,3,1,0,0.666666667,0,0.333333333
1,1,4,1,0,0.5,0.25,0.25
2,0,1,0,0,0.395751806,0.089370375,0.514877819
2,0,1,1,0,0.494855007,0.105939757,0.399205236
2,0,2,1,0,0.617285973,0.148096151,0.234617876
2,0,3,1,0,0.607176772,0.133155685,0.259667543
2,0,4,1,0,0.607176772,0.133155685,0.259667543
2,1,1,0,0,0.008740612,0.295019607,0.696239781
2,1,1,1,0,0.088127332,0.465816801,0.446055866
2,1,2,1,0,0.114275615,0.429665978,0.456058407
2,1,3,1,0,0.073624949,0.550360495,0.376014556
2,1,4,1,0,0.06149006,0.636549804,0.301960136
3,0,1,0,0,0.016804162,0.335905766,0.647290073
3,0,1,1,0,0.068993615,0.695412227,0.235594158
3,0,2,1,0,0.124709211,0.555050894,0.320239895
3,0,3,1,0,0.068146819,0.627150891,0.30470229
3,0,4,1,0,0.097031053,0.700923764,0.202045183
3,1,1,0,0,0,0,1
3,1,1,1,0,0.14321229,0,0.85678771
3,1,2,1,0,0.422191445,0,0.577808555
3,1,3,1,0,0.666666667,0,0.333333333
3,1,4,1,0,0.410690134,0,0.589309866
4,0,1,0,0,0,0,1
4,0,1,1,0,0.077397294,0,0.922602706
4,0,2,1,0,0.077397294,0,0.922602706
4,0,3,1,0,0.077397294,0,0.922602706
4,0,4,1,0,0.077397294,0,0.922602706
4,1,1,0,0,1,0,0
4,1,1,1,0,1,0,0
4,1,2,1,0,1,0,0
4,1,3,1,0,1,0,0
4,1,4,1,0,1,0,0
